break
20220427 16:56:17 819, UsagePage: 65280, Usage: 1, Data: 10024104728240
20220427 16:56:37 569, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:56:37 593, UsagePage: 65280, Usage: 2, Data: 1102060CAF21730C2278AF1BE2882C1BB3C539C0
20220427 16:56:37 617, UsagePage: 65280, Usage: 2, Data: 1102061CC2CFD09510698FC556BFCC39BC3092E3
20220427 16:56:37 619, UsagePage: 65280, Usage: 2, Data: 11FF83B5410B4D58204D61737465722033000000
20220427 16:56:37 641, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:56:37 683, UsagePage: 65280, Usage: 2, Data: 1101070D32140000000000000000000000000000
20220427 16:56:37 723, UsagePage: 65280, Usage: 2, Data: 1101FF022D070000000000000000000000000000
20220427 16:56:37 763, UsagePage: 65280, Usage: 2, Data: 1101070D32140000000000000000000000000000
20220427 16:56:37 802, UsagePage: 65280, Usage: 2, Data: 1101082D00D10000000000000000000000000000
20220427 16:56:37 843, UsagePage: 65280, Usage: 2, Data: 1101050D00000000000000000000000000000000
20220427 16:56:37 885, UsagePage: 65280, Usage: 2, Data: 1101051D54E00000000000000000000000000000
20220427 16:56:37 925, UsagePage: 65280, Usage: 2, Data: 1101083D00D10000000300000000000000000000
20220427 16:56:37 965, UsagePage: 65280, Usage: 2, Data: 1101082D00D20000000000000000000000000000
20220427 16:56:38 005, UsagePage: 65280, Usage: 2, Data: 1101083D00D20000000300000000000000000000
20220427 16:56:38 045, UsagePage: 65280, Usage: 2, Data: 1101082D00D30000000000000000000000000000
20220427 16:56:38 085, UsagePage: 65280, Usage: 2, Data: 1101083D00D30000000300000000000000000000
20220427 16:56:38 125, UsagePage: 65280, Usage: 2, Data: 1101083D00C70300000B00000000000000000000
20220427 16:56:38 165, UsagePage: 65280, Usage: 2, Data: 1101083D00C80300000B00000000000000000000
20220427 16:56:38 207, UsagePage: 65280, Usage: 2, Data: 1101083D00E00300000B00000000000000000000
20220427 16:56:38 247, UsagePage: 65280, Usage: 2, Data: 1101083D00E10300000B00000000000000000000
20220427 16:56:38 287, UsagePage: 65280, Usage: 2, Data: 1101083D006E0300000B00000000000000000000
20220427 16:56:38 327, UsagePage: 65280, Usage: 2, Data: 1101083D00E20200000B00000000000000000000
20220427 16:56:38 367, UsagePage: 65280, Usage: 2, Data: 1101083D00E30200000B00000000000000000000
20220427 16:56:38 407, UsagePage: 65280, Usage: 2, Data: 1101083D00E40300000B00000000000000000000
20220427 16:56:38 449, UsagePage: 65280, Usage: 2, Data: 1101083D00E50300000B00000000000000000000
20220427 16:56:38 489, UsagePage: 65280, Usage: 2, Data: 1101083D00E60300000B00000000000000000000
20220427 16:56:38 529, UsagePage: 65280, Usage: 2, Data: 1101083D00E70300000B00000000000000000000
20220427 16:56:38 569, UsagePage: 65280, Usage: 2, Data: 1101083D00E80300000B00000000000000000000
20220427 16:56:38 609, UsagePage: 65280, Usage: 2, Data: 1101083D00E90300000B00000000000000000000
20220427 16:56:38 649, UsagePage: 65280, Usage: 2, Data: 1101083D000A0300000B00000000000000000000
20220427 16:56:38 689, UsagePage: 65280, Usage: 2, Data: 1101083D00BF0300000B00000000000000000000
20220427 16:56:38 731, UsagePage: 65280, Usage: 2, Data: 1101083D00EA0300000B00000000000000000000
20220427 16:56:38 771, UsagePage: 65280, Usage: 2, Data: 1101083D006F0300000B00000000000000000000
20220427 16:56:38 811, UsagePage: 65280, Usage: 2, Data: 1101082D00EC0000000000000000000000000000
20220427 16:56:38 851, UsagePage: 65280, Usage: 2, Data: 1101083D00EC0000000300000000000000000000
20220427 16:56:38 891, UsagePage: 65280, Usage: 2, Data: 1101082D00EB0000000000000000000000000000
20220427 16:56:38 931, UsagePage: 65280, Usage: 2, Data: 1101083D00EB0000000300000000000000000000
20220427 16:56:38 971, UsagePage: 65280, Usage: 2, Data: 1101082D00DE0000000000000000000000000000
20220427 16:56:39 013, UsagePage: 65280, Usage: 2, Data: 1101083D00DE0000000300000000000000000000
20220427 16:56:39 053, UsagePage: 65280, Usage: 2, Data: 1101082D00340000000000000000000000000000
20220427 16:56:39 093, UsagePage: 65280, Usage: 2, Data: 1101083D00340000000300000000000000000000
20220427 16:56:39 133, UsagePage: 65280, Usage: 2, Data: 1101090D03000000000000000000000000000000
20220427 16:56:39 173, UsagePage: 65280, Usage: 2, Data: 1101092D0A000000000000000000000000000000
20220427 16:56:39 213, UsagePage: 65280, Usage: 2, Data: 11010A0D13040300000000000000000000000000
20220427 16:56:39 253, UsagePage: 65280, Usage: 2, Data: 11010A8D00000000000000000000000000000000
20220427 16:56:39 295, UsagePage: 65280, Usage: 2, Data: 11010B0D01050500000000000000000000000000
20220427 16:56:39 335, UsagePage: 65280, Usage: 2, Data: 11010F2D02000000000000000000000000000000
20220427 16:56:39 375, UsagePage: 65280, Usage: 2, Data: 1101100D03000404030000000000000000000000
20220427 16:56:39 415, UsagePage: 65280, Usage: 2, Data: 1101101D00000100000000000000000000000000
20220427 16:56:39 455, UsagePage: 65280, Usage: 2, Data: 1101101D01012000000000000000000000000000
20220427 16:56:39 495, UsagePage: 65280, Usage: 2, Data: 1101101D02024000000000000000000000000000
20220427 16:56:39 537, UsagePage: 65280, Usage: 2, Data: 1101101D03031000000000000000000000000000
20220427 16:56:39 577, UsagePage: 65280, Usage: 2, Data: 1101102D00010003FFFF00000000000000000000
20220427 16:56:39 617, UsagePage: 65280, Usage: 2, Data: 1101102D01010000FFFF00000000000000000000
20220427 16:56:39 657, UsagePage: 65280, Usage: 2, Data: 1101102D02010103FFFF00000000000000000000
20220427 16:56:39 661, UsagePage: 65280, Usage: 2, Data: 11FF83B540074D58204B65797300000000000000
20220427 16:56:39 697, UsagePage: 65280, Usage: 2, Data: 1101070D32140000000000000000000000000000
20220427 16:56:39 713, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:56:39 841, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:56:40 945, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:56:41 123, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:56:43 137, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:56:43 257, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:56:44 725, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:56:44 853, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:56:45 499, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:56:45 519, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:56:51 073, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:56:51 187, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:56:51 319, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:56:51 343, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:56:51 367, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:56:51 393, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:03 045, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:03 148, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:04 205, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:58:04 301, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:58:06 289, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:06 392, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:09 257, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:09 419, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:11 829, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:11 917, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:13 121, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:13 250, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:14 240, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:14 355, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:16 179, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:16 341, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:17 615, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:17 913, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:18 573, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:18 887, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:29 093, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:29 213, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:31 983, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:32 078, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:32 417, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:32 505, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:32 830, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:32 909, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:33 203, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:33 299, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:33 647, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:33 726, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:34 053, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:34 149, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:34 419, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:34 507, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:35 367, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:36 203, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:38 889, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:38 968, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:39 192, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:39 217, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:39 241, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:58:39 267, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:58:39 291, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:58:39 315, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:58:39 338, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:58:39 363, UsagePage: 65280, Usage: 2, Data: 1102093C00522300000B00000000000000000000
20220427 16:58:39 387, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:58:39 411, UsagePage: 65280, Usage: 2, Data: 1102093C00563300000B00000000000000000000
20220427 16:58:39 435, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:58:39 459, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:58:39 483, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:58:39 507, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:58:39 533, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:58:39 557, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:58:39 580, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:58:39 604, UsagePage: 65280, Usage: 2, Data: 11020D1C00140000000000000000000000000000
20220427 16:58:39 629, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:58:39 653, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:58:39 676, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:58:39 701, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:39 724, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:42 541, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:42 615, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:43 271, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:43 343, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:43 486, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:43 506, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:43 527, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:58:43 547, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:58:43 567, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:58:43 589, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:58:43 613, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:58:43 637, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:58:43 661, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:58:43 685, UsagePage: 65280, Usage: 2, Data: 1102093C00562300560B00000000000000000000
20220427 16:58:43 710, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:58:43 735, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:58:43 758, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:58:43 783, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:58:43 806, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:58:43 830, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:58:43 855, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:58:43 879, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
20220427 16:58:43 903, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:58:43 929, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:58:43 949, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:58:43 971, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:43 991, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:45 144, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:45 217, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:46 119, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:58:46 183, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:58:47 687, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:47 767, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:48 243, UsagePage: 65280, Usage: 2, Data: 1102092000510100000000000000000000000000
20220427 16:58:48 307, UsagePage: 65280, Usage: 2, Data: 1102092000510000000000000000000000000000
20220427 16:58:49 259, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:49 331, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:50 537, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:50 609, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:50 640, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:50 664, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:50 685, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:58:50 705, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:58:50 725, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:58:50 747, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:58:50 767, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:58:50 787, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:58:50 807, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:58:50 827, UsagePage: 65280, Usage: 2, Data: 1102093C00562300000B00000000000000000000
20220427 16:58:50 847, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:58:50 867, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:58:50 887, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:58:50 907, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:58:50 927, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:58:50 947, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:58:50 966, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:58:50 988, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
20220427 16:58:51 006, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:58:51 026, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:58:51 048, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:58:51 068, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:51 088, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:51 563, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:51 635, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:58 631, UsagePage: 65280, Usage: 2, Data: 1102092000500100000000000000000000000000
20220427 16:58:58 742, UsagePage: 65280, Usage: 2, Data: 1102092000500000000000000000000000000000
20220427 16:58:58 767, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:58 792, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:58 812, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:58:58 832, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:58:58 852, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:58:58 872, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:58:58 892, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:58:58 912, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:58:58 932, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:58:58 952, UsagePage: 65280, Usage: 2, Data: 1102093C00562300560B00000000000000000000
20220427 16:58:58 972, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:58:58 994, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:58:59 012, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:58:59 034, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:58:59 054, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:58:59 074, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:58:59 094, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:58:59 114, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
20220427 16:58:59 134, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:58:59 154, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:58:59 174, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:58:59 194, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:59 215, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:59 275, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
20220427 16:58:59 299, UsagePage: 65280, Usage: 2, Data: 1102102C00000000000000000000000000000000
20220427 16:58:59 323, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:58:59 347, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000100000000000000000000
20220427 16:58:59 370, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:58:59 394, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000100000000000000000000
20220427 16:58:59 420, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:58:59 445, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:58:59 469, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:58:59 493, UsagePage: 65280, Usage: 2, Data: 1102093C00562300000B00000000000000000000
20220427 16:58:59 517, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:58:59 541, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:58:59 561, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:58:59 583, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:58:59 603, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:58:59 623, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:58:59 645, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:58:59 671, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
